"tipo","tipo_id","sitio_id","sitio_nm"
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","08aabfb3-7f00-0010-e895-0000a2c7d66b",Surf Playa del Muerto
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","08a45737-7f00-0010-e895-00005d29a92d",SURF OUTER REEF MANGLECITO
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","08a45737-7f00-0010-e895-00005d29a92d",SURF OUTER REEF MANGLECITO
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","0870f695-7f00-0010-e895-0000b88dc615",BAJO 20 VARAS
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4",a8d0de14-47ef-4551-ba9d-32214106843e,PLAZA SUR
HUMEDAL,a36b8a77-c8f3-4c7d-a518-11f606715d5a,f4333634-a8e3-11e4-ac93-6c3be5ba6ec8,COMPLEJO DE HUMEDALES
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","06853a2a-7f00-0010-0903-00008e9ecf9f",Grimaneza
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","0688be57-7f00-0010-0903-0000ffebfc1c",CALETA IGUANA
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0692c482-7f00-0010-0903-000052ff003e",CARTAGO CHICO
ROCA,"820d7f0c-cf83-4f38-af12-cf877f168e3a",f4366124-a8e3-11e4-ba11-6c3be5ba6ec8,LA BOTELLA
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","070adc13-7f00-0010-0903-00001208203d",PLAYA CORMORANT
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","214e1f2c-743a-4e6f-9383-5706dd0cfd30",CERRO BRUJO
BARRANCO,"0c177e29-7f00-0010-7080-000052020abd",f43859a2-a8e3-11e4-be4d-6c3be5ba6ec8,PUNTA ESPEJO
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","8069d708-6770-442b-90ff-366d79513eb5",PLAYA NEGRA
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee","72159e2a-c5a0-4ab1-8a04-1e48b35d319b",ISLA LOBOS
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","830342db-6ca0-4c1a-86dd-56c636e621f4",GALAPAGUERA NATURAL
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",f4368f50-a8e3-11e4-8d8a-6c3be5ba6ec8,LA LOBERÍA
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4",a1ea6f6f-7286-4171-ae8f-b38644385143,PUERTO EGAS
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4",f438cd6a-a8e3-11e4-9153-6c3be5ba6ec8,PUNTA SUAREZ
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee",d9bde7b9-cb39-407e-a995-f5d5986eb7fc,ISLA EDÉN
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011",af28ed6a-1fe4-4005-be5e-fc69734b3769,LOS TÚNELES
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4",e7d1d3f6-9578-41a7-8176-fb837d587cf9,RÁBIDA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",e7d1d3f6-9578-41a7-8176-fb837d587cf9,RÁBIDA
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","5260650a-cc63-4ba3-b802-1ff634b67859",ASILO DE LA PAZ
