"sitio_id","sitio_nm","id","actividad_id","actividad_label","abreviatura_id","abreviatura_label","carga_actividad"
"0ed8c0ef-7f00-0010-89c3-00008a01a90a",MOSQUERA NORTE,"05aaf1a7-635f-4107-8d10-2661b4f1e049",ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,BUCEO SCUBA,ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,SC,0
b84329fe-3097-11e5-afe0-6c3be5ba6ec8,PLAYA ESCONDIDA,"7a0f3343-569f-4d9d-9874-e40529750022","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,0
"9d235d78-14ef-4804-82f9-03c511bc113a",PUNTA PUCUNA,"23487516-b110-4da5-a19f-97dafaefc4f9","9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,0
be301b4f-6256-4c3a-ad8b-12171c50c20d,ROCA COUSIN,"234d1e51-bf1f-481d-9eee-f15ffcba9092","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,
f4368f50-a8e3-11e4-8d8a-6c3be5ba6ec8,LA LOBERÍA,"69a7271a-6e3a-4e94-9581-eac21a0fe12a","9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,
"5f0d5004-fa42-4945-9de1-356c18fd673c",SANTA FE/FONDEADERO,"916b7b55-c003-4b85-adec-f1b314c3eb56","57986a17-f816-41f2-bf46-6e64f281757a",PANGA RIDE,"57986a17-f816-41f2-bf46-6e64f281757a",PR,0
f4392c10-a8e3-11e4-b954-6c3be5ba6ec8,PUERTO GRANDE,dbf69e6f-8f85-49c0-ad18-fac658ae7564,"0c537320-7f00-0010-3efb-00005520442a",TABLA REMO,"0c537320-7f00-0010-3efb-00005520442a",TR,0
"5f0d5004-fa42-4945-9de1-356c18fd673c",SANTA FE/FONDEADERO,"15b87ec1-7a2a-4d13-a472-f6b85875d446","9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,5
"5033570c-b18f-46f5-896d-7d16f8ae8439",BAJO BAZÁN,"3fb069ae-fe81-4af1-855d-817330101660","621279b0-9e1e-460d-922b-1e485f0a2955",SURF,"621279b0-9e1e-460d-922b-1e485f0a2955",SF,5
f439208a-a8e3-11e4-abbc-6c3be5ba6ec8,PUERTO CHINO,c66bdcda-e683-43e8-8cf4-fca2b8098d19,ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KAYAK,ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KY,0
"5f0d5004-fa42-4945-9de1-356c18fd673c",SANTA FE/FONDEADERO,"730beb21-162c-4327-ac69-7f590af9fc20",ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KAYAK,ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KY,0
f4326696-a8e3-11e4-86f9-6c3be5ba6ec8,CALETA TAGUS,"754c1b40-68ed-4782-868a-425956a57bd5","57986a17-f816-41f2-bf46-6e64f281757a",PANGA RIDE,"57986a17-f816-41f2-bf46-6e64f281757a",PR,
"09927eda-7f00-0010-3efb-00001ba27734",RUTA PLAYA EL GARRAPATERO,b28d5ebf-e238-46e1-a65f-ab73dafa2bb9,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,7
f4326696-a8e3-11e4-86f9-6c3be5ba6ec8,CALETA TAGUS,"23bea5f3-d729-4ceb-84d6-c9efdd1dec3f",ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KAYAK,ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KY,
"09927eda-7f00-0010-3efb-00001ba27734",RUTA PLAYA EL GARRAPATERO,"8f684aaa-ad59-4d96-9f95-641cdfb97191",ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KAYAK,ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KY,0
"0ed8c0ef-7f00-0010-89c3-00008a01a90a",MOSQUERA NORTE,"3c1a00c9-dec8-43c9-87f6-2de1fb1e6aff","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,0
e63dd025-b2f5-47bc-9dcc-797a2af29495,PUNTA TORTUGA NEGRA,"411640e2-6b00-49a3-8675-718b411b7566","9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CAMINATA,"9b9b69d6-1de1-4862-a7f1-c6d6d34d21c1",CA,0
"4e8d23e7-108e-4b79-a104-352c1dd70e19",ISLOTE PUNTA PITT,"1ffd57fb-d012-4959-8e03-7e361b352f30","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,
"1be29e9a-5fa8-4772-aa23-11cc18f9bf10",LOS CRÁTERES,"350898c5-035d-4d7a-9a8b-5d56eb433036","621279b0-9e1e-460d-922b-1e485f0a2955",SURF,"621279b0-9e1e-460d-922b-1e485f0a2955",SF,0
"0ed90edb-7f00-0010-89c3-00008d9bfb9f",MOSQUERA SUR,c45166d7-6ff2-4ebd-b209-ecb210526d1f,ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,BUCEO SCUBA,ef0b6210-2ad4-4691-b2ab-fb9ad873d39f,SC,6
f4333c06-a8e3-11e4-b9ac-6c3be5ba6ec8,CONCHA DE PERLA,"0de41df5-d9db-4380-9dd3-13180d45f9f3","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,1
"30badeca-a297-4049-9098-cf0aebb85116",MANGLECITO,afb9b378-8623-4b63-9147-7d8075232132,"621279b0-9e1e-460d-922b-1e485f0a2955",SURF,"621279b0-9e1e-460d-922b-1e485f0a2955",SF,0
"5614f462-160f-11e5-80ee-6c3be5ba6ec8",TONGO REEF,"10b0b9b3-280b-4460-8e06-e397c961964f","621279b0-9e1e-460d-922b-1e485f0a2955",SURF,"621279b0-9e1e-460d-922b-1e485f0a2955",SF,0
b5a4343a-160d-11e5-80ee-6c3be5ba6ec8,PIEDRA AHOGADA,"9de67b27-dc54-4a7e-8e48-a94071a3a82b","931a24f3-05e2-45e2-b61e-34a358b440c5",SNORKEL,"931a24f3-05e2-45e2-b61e-34a358b440c5",SN,0
"0994fa52-7f00-0010-3efb-000060f0529a",RUTA CANAL DE ITABACA-ZONA ESTE,"6861b86a-151b-4fb6-a3ad-2b75a53ff781",ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KAYAK,ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KY,0
"0983f046-7f00-0010-3efb-00006f2a2c42",RUTA PUNTA ESTRADA,"93affdcd-4984-472a-bbad-4068de852496",ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KAYAK,ff75bbd1-c4a1-4c21-9dba-ff444b7dba84,KY,0
d932433f-4bca-4e8e-8869-901e94dce903,LEÓN DORMIDO,"78714fc1-eadf-4b7c-9d41-ca7c669b1ff8","57986a17-f816-41f2-bf46-6e64f281757a",PANGA RIDE,"57986a17-f816-41f2-bf46-6e64f281757a",PR,0
